state,total_volume,market_count
Arizona,55798394.0,21
Pennsylvania,39952577.0,26
Georgia,25355541.0,19
Nevada,20846845.0,20
Michigan,20143219.0,20
North Carolina,16975031.0,20
Wisconsin,16470705.0,21
Iowa,13744540.0,5
Florida,12020517.0,27
Virginia,9862462.0,5
Texas,9809167.0,12
New York,8929220.0,4
New Mexico,7208812.0,5
New Hampshire,6342194.0,6
New Jersey,4660837.0,4
Ohio,4588475.0,16
California,3934552.0,19
Minnesota,3657751.0,5
Nebraska,2196012.0,12
Maine,2104341.0,8
Alaska,1831457.0,6
Colorado,884789.0,5
Montana,864443.0,6
Maryland,714733.0,5
Hawaii,701256.0,3
Illinois,595225.0,2
Washington,496534.0,7
Kansas,432919.0,2
Oregon,417555.0,2
Delaware,327740.0,5
Vermont,322722.0,4
Massachusetts,269020.0,4
Missouri,233205.0,7
Connecticut,186345.0,3
Indiana,176499.0,6
Wyoming,165648.0,6
South Carolina,120883.0,2
Rhode Island,120344.0,3
Louisiana,119100.0,2
Kentucky,78284.0,2
Mississippi,78227.0,5
Alabama,74413.0,3
West Virginia,69059.0,5
Utah,67394.0,6
Idaho,60713.0,3
Oklahoma,60493.0,3
Tennessee,55589.0,4
North Dakota,49673.0,7
Arkansas,34144.0,3
South Dakota,30116.0,2
