from,to,from_type,to_type,volume
Politics,PRES,root,series,535647064.0
Politics,POPVOTE,root,series,81933515.0
Politics,POPVOTEMOV,root,series,134863999.0
Politics,SENATEAZ,root,series,35494026.0
Politics,POPVOTEMOVSMALL,root,series,84316801.0
Politics,POPVOTEMOVSMALLER,root,series,36465729.0
Politics,KXSECHHS,root,series,11577768.0
Politics,ECMOV,root,series,86308117.0
Politics,PRESPARTYGA,root,series,19884204.0
Politics,KXSECAG,root,series,10890051.0
Politics,PRESPARTYPA,root,series,17042008.0
Politics,PRESPARTYFULL,root,series,28921006.0
Politics,KXSECDEF,root,series,10849236.0
Politics,POWER,root,series,28449837.0
Politics,PRESPARTYMI,root,series,14548325.0
Politics,PRESPARTYIA,root,series,12930686.0
Politics,CABINETMUSK,root,series,6808311.0
Politics,PRESPARTYNC,root,series,12233384.0
Politics,HOUSECA13,root,series,8703537.0
Politics,KXSTATEDEEPDJT,root,series,6143975.0
Politics,KXDNI,root,series,5723479.0
Politics,PRESPARTYNV,root,series,10607466.0
Politics,PRESPARTYVA,root,series,8810367.0
Politics,POPVOTEKHNM,root,series,5518133.0
Politics,HOUSEMOV,root,series,15758476.0
Politics,PRESPARTYNY,root,series,8701986.0
Politics,CLOSESTSTATE,root,series,23976261.0
Politics,KXSHUTDOWNBY,root,series,4184398.0
Politics,KXSENMAJORITY,root,series,6456259.0
Politics,PRESPARTYWI,root,series,7213622.0
Politics,KXEOCOUNTDAY1B,root,series,4048640.0
Politics,PRESPARTYAZ,root,series,7245158.0
Politics,KXFBI,root,series,3630757.0
Politics,KXEOCOUNTDAY1,root,series,3545899.0
Politics,CABINETRFK,root,series,3492893.0
Politics,PRESPARTYFL,root,series,6745504.0
Politics,KXSWINGSTATES24DJT,root,series,10231804.0
Politics,SENATENV,root,series,5434529.0
Politics,KXEOCOUNTDAY2,root,series,3215044.0
Politics,POPVOTEMOVAZ,root,series,6649709.0
Politics,POPVOTEMOVPA,root,series,9751419.0
Politics,SENATEMOV,root,series,6746301.0
Politics,RHOUSESEATS,root,series,4498473.0
Politics,RHOUSESEATSSMALL,root,series,4622224.0
Politics,PRESPARTYTX,root,series,4654059.0
Politics,PRESPARTYNJ,root,series,4152324.0
Politics,SENATETX,root,series,4291099.0
Politics,PRESPARTYNH,root,series,4649224.0
Politics,KXBIDENPARDON,root,series,9276974.0
Politics,SENATEPA,root,series,3916341.0
Politics,PRESPARTYCA,root,series,3183054.0
Politics,KXSECTREASURY,root,series,5070665.0
Politics,KXSPEAKER,root,series,1935935.0
Politics,SENATEOH,root,series,2696852.0
Politics,HOUSECA45,root,series,3063342.0
Politics,KXVOTERFK,root,series,4828894.0
Politics,KXNEXTCANADAPM,root,series,1576965.0
Politics,PRESPARTYMN,root,series,2607519.0
Politics,RSENATESEATS,root,series,5351032.0
Politics,CONTROLH,root,series,3009697.0
Politics,CABINETTULSI,root,series,1390634.0
Politics,KXDJTJOINTSESSION,root,series,6635977.0
Politics,KXTARIFFSC,root,series,1198709.0
Politics,TIPPINGPOINT,root,series,2378049.0
Politics,KXSECSTATE,root,series,1159407.0
Politics,KXVOTETULSI,root,series,2743133.0
Politics,KXVOTEHEGSETH,root,series,1686065.0
Politics,ECDJTBLOWOUT,root,series,1040016.0
Politics,KXVOTEPATEL,root,series,2990247.0
Politics,PRESPARTYME,root,series,1697186.0
Politics,CONTROLS,root,series,1783270.0
Politics,SENATEWI,root,series,1475123.0
Politics,KXDEBATES24,root,series,2074178.0
Politics,SENATEFL,root,series,831198.0
Politics,KXDJTFLAK,root,series,814184.0
Politics,SENATENE,root,series,1424956.0
Politics,KXTRUMPPARDON,root,series,776478.0
Politics,KXTRUMPOFFICIAL,root,series,772300.0
Politics,KXSTATEDEEPKH,root,series,764623.0
Politics,KXEOCOUNTDAY3,root,series,695530.0
Politics,KXINAUG,root,series,1285186.0
Politics,KXPREEMPT,root,series,652115.0
Politics,SENATEMI,root,series,1215349.0
Politics,POPVOTEMOVNV,root,series,618226.0
Politics,KXINAUGVIEWS,root,series,581695.0
Politics,KXSTATEFLIPKH,root,series,574484.0
Politics,POPVOTEMOVNC,root,series,553589.0
Politics,POPVOTEMOVGA,root,series,552167.0
Politics,PRESPARTYNM,root,series,1055105.0
Politics,KXSWINGSWEEP24,root,series,538948.0
Politics,KXSPEAKERVOTE,root,series,530074.0
Politics,POPVOTEMOVWI,root,series,522129.0
Politics,PRESPARTYHI,root,series,521823.0
Politics,KXSECLABOR,root,series,510887.0
Politics,KXRUBIO,root,series,508019.0
PRES,PRES-2024,series,event,535647064.0
POPVOTE,POPVOTE-24,series,event,81933515.0
POPVOTEMOV,POPVOTEMOV-24,series,event,134863999.0
SENATEAZ,SENATEAZ-24,series,event,35494026.0
POPVOTEMOVSMALL,POPVOTEMOVSMALL-24,series,event,84316801.0
POPVOTEMOVSMALLER,POPVOTEMOVSMALLER-24,series,event,36465729.0
KXSECHHS,KXSECHHS-26DEC31,series,event,11577768.0
ECMOV,ECMOV-24,series,event,86308117.0
PRESPARTYGA,PRESPARTYGA-24,series,event,19884204.0
KXSECAG,KXSECAG-26DEC31,series,event,10890051.0
PRESPARTYPA,PRESPARTYPA-24,series,event,17042008.0
PRESPARTYFULL,PRESPARTYFULL-24,series,event,28921006.0
KXSECDEF,KXSECDEF-26DEC31,series,event,10849236.0
POWER,POWER-24,series,event,28449837.0
PRESPARTYMI,PRESPARTYMI-24,series,event,14548325.0
PRESPARTYIA,PRESPARTYIA-24,series,event,12930686.0
CABINETMUSK,CABINETMUSK-25,series,event,6808311.0
PRESPARTYNC,PRESPARTYNC-24,series,event,12233384.0
HOUSECA13,HOUSECA13-24,series,event,8703537.0
KXSTATEDEEPDJT,KXSTATEDEEPDJT-24-R,series,event,6143975.0
KXDNI,KXDNI-26DEC31,series,event,5723479.0
PRESPARTYNV,PRESPARTYNV-24,series,event,10607466.0
PRESPARTYVA,PRESPARTYVA-24,series,event,8810367.0
POPVOTEKHNM,POPVOTEKHNM-2024,series,event,5518133.0
HOUSEMOV,HOUSEMOV-24,series,event,15758476.0
PRESPARTYNY,PRESPARTYNY-24,series,event,8701986.0
CLOSESTSTATE,CLOSESTSTATE-24,series,event,23976261.0
KXSHUTDOWNBY,SHUTDOWNBY-24,series,event,4184398.0
KXSENMAJORITY,KXSENMAJORITY,series,event,6456259.0
PRESPARTYWI,PRESPARTYWI-24,series,event,7213622.0
KXEOCOUNTDAY1B,KXEOCOUNTDAY1B-25JAN20,series,event,4048640.0
PRESPARTYAZ,PRESPARTYAZ-24,series,event,7245158.0
KXFBI,KXFBI-26DEC31,series,event,3630757.0
KXEOCOUNTDAY1,KXEOCOUNTDAY1-25JAN20,series,event,3545899.0
CABINETRFK,CABINETRFK-25,series,event,3492893.0
PRESPARTYFL,PRESPARTYFL-24,series,event,6745504.0
KXSWINGSTATES24DJT,KXSWINGSTATES24DJT,series,event,10231804.0
SENATENV,SENATENV-24,series,event,5434529.0
KXEOCOUNTDAY2,KXEOCOUNTDAY2-25JAN21,series,event,3215044.0
POPVOTEMOVAZ,POPVOTEMOVAZ-24,series,event,6649709.0
POPVOTEMOVPA,POPVOTEMOVPA-24,series,event,9751419.0
SENATEMOV,SENATEMOV-24,series,event,6746301.0
RHOUSESEATS,RHOUSESEATS-25,series,event,4498473.0
RHOUSESEATSSMALL,RHOUSESEATSSMALL-25,series,event,4622224.0
PRESPARTYTX,PRESPARTYTX-24,series,event,4654059.0
PRESPARTYNJ,PRESPARTYNJ-24,series,event,4152324.0
SENATETX,SENATETX-24,series,event,4291099.0
PRESPARTYNH,PRESPARTYNH-24,series,event,4649224.0
